ID,sentence,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,REL,KandelMoles,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
219,"Elle permet de stocker des informations de nature auditive (sons, paroles…) pendant une période de temps brève (trois à quatre secondes).",14.98090909090909,13.33409090909091,12.520840590909096,26.841363636363653,19.709090909090907,53.81818181818181,16.41640786499874,7.0,47.50636363636366,56.97272727272727,8.9862,5.045454545454546,1.8636363636363635,22.0,1.0,0.9090909090909091,0.0,111.0,41.0,22.0,20.0,1.0,1.0,7.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
471,Madeleine Laval est une germaniste et une traductrice française.,18.075555555555557,11.853333333333332,16.84414322222223,-18.49999999999995,16.933333333333334,53.44444444444444,12.486832980505138,4.0,9.776111111111163,24.872222222222234,5.709733333333332,6.111111111111111,2.5555555555555554,9.0,1.0,0.8888888888888888,0.0,55.0,23.0,9.0,8.0,1.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Neo prend la décision d'aller les affronter pour sauver Morpheus mais au mépris de sa vie après une longue course-poursuite.,11.762727272727272,11.621363636363633,10.382712954545461,49.914090909090945,14.254545454545454,40.18181818181819,12.486832980505138,4.0,67.57909090909094,75.51818181818182,6.833018181818183,4.681818181818182,1.5909090909090908,22.0,1.0,1.0,0.0,103.0,35.0,22.0,22.0,1.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,"Malgré son côté sérieux, elle a une brève liaison avec un Américain, Bruce, alors qu'elle est officiellement en couple avec Alistair.",14.98090909090909,12.905909090909084,11.986308681818183,26.841363636363653,10.618181818181819,44.72727272727273,8.477225575051662,5.0,47.50636363636366,56.97272727272727,5.397563636363636,4.954545454545454,1.8636363636363635,22.0,1.0,0.9545454545454546,0.0,109.0,41.0,22.0,21.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
20,"Dans l'importante biographie que lui consacre Philip Marchand en 1989, Neil Postman rappelle toutefois le pouvoir heuristique des hypothèses de McLuhan.",14.927826086956525,16.691739130434783,16.146732956521742,29.003043478260906,21.373913043478264,66.47826086956522,17.491376746189438,10.0,49.255000000000024,58.37608695652176,5.259930434782609,5.6521739130434785,1.826086956521739,23.0,1.0,1.0,0.0,130.0,42.0,23.0,23.0,1.0,1.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,Il consiste en une salle de prière entièrement sous un dôme à laquelle on accède par un long couloir sombre en chicane menant à un grand portail.,14.169629629629632,12.654444444444444,8.800497407407413,41.56333333333336,18.20740740740741,49.22222222222222,15.24744871391589,6.0,59.65425925925928,67.13518518518518,7.772162962962963,4.37037037037037,1.6296296296296295,27.0,1.0,0.8518518518518519,0.0,118.0,44.0,27.0,23.0,1.0,1.0,6.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,"L’alutiiq, aussi appelé yupik du Golfe Pacifique ou sugpiaq, est une des langues yupik, de la famille des langues eskimo-aléoutes, parlée traditionnellement par les Alutiiq.",18.102962962962966,17.015555555555558,14.244803888888892,13.363333333333347,19.68888888888889,60.333333333333336,16.41640786499874,9.0,35.120925925925945,44.46851851851849,7.187348148148149,5.296296296296297,1.962962962962963,27.0,1.0,0.8888888888888888,0.0,143.0,53.0,27.0,24.0,1.0,1.0,9.0,6.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
153,"Au Pérou, le district de Yauri est l’un des huit districts de la province d'Espinar située dans le département de Cusco.",9.79739130434783,10.138695652173915,7.966070695652178,65.78565217391306,12.678260869565218,44.73913043478261,10.745966692414834,5.0,81.25500000000001,87.9413043478261,7.319495652173913,4.260869565217392,1.391304347826087,23.0,1.0,0.8695652173913043,0.0,98.0,32.0,23.0,20.0,1.0,1.0,5.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201,L’objectivation nous éclaire sur le processus de reconstruction du passé en fonction de l’état actuel des choses.,12.314736842105265,11.867894736842103,12.350691578947366,40.613157894736844,16.02105263157895,45.315789473684205,13.954451150103322,5.0,59.88342105263159,69.04473684210527,6.759768421052631,5.052631578947368,1.736842105263158,19.0,1.0,0.9473684210526315,0.0,96.0,33.0,19.0,18.0,1.0,1.0,5.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
344,Il était une entité politique indépendante. Aujourd'hui c'est une chefferie traditionnelle en relation avec les autorités administratives tchadiennes modernes.,18.285952380952384,14.995714285714278,20.300373571428572,-17.336785714285696,23.247619047619047,58.11904761904762,15.24744871391589,5.0,10.590119047619083,25.30595238095239,10.295561904761906,6.619047619047619,2.5238095238095237,10.5,2.0,0.9523809523809523,0.0,139.0,53.0,21.0,20.0,2.0,1.0,10.0,10.0,13.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
